Key,Value
1980_Spring_2_avg_protein,3.0930000000000004
1980_Spring_3_avg_protein,2.9290000000000003
1980_Spring_4_avg_protein,3.0300000000000002
1980_Summer_5_avg_protein,3.2049999999999996
1980_Summer_6_avg_protein,3.213
1980_Summer_7_avg_protein,3.183
1990_Spring_2_avg_protein,3.024
1990_Spring_3_avg_protein,2.9709999999999996
1990_Spring_4_avg_protein,3.063
1990_Summer_5_avg_protein,3.1710000000000003
1990_Summer_6_avg_protein,3.18
1990_Summer_7_avg_protein,3.184
2000_Spring_2_avg_protein,3.147
2000_Spring_3_avg_protein,3.1109999999999998
2000_Spring_4_avg_protein,3.2190000000000003
2000_Summer_5_avg_protein,3.268
2000_Summer_6_avg_protein,3.2380000000000004
2000_Summer_7_avg_protein,3.243
2010_Spring_2_avg_protein,3.3020000000000005
2010_Spring_3_avg_protein,3.2119999999999997
2010_Spring_4_avg_protein,3.286
2010_Summer_5_avg_protein,3.3659999999999997
2010_Summer_6_avg_protein,3.368
2010_Summer_7_avg_protein,3.3600000000000003
2020_Spring_2_avg_protein,3.4133333333333336
2020_Spring_3_avg_protein,3.3166666666666664
2020_Spring_4_avg_protein,3.44
2020_Summer_5_avg_protein,3.466666666666667
2020_Summer_6_avg_protein,3.4633333333333334
2020_Summer_7_avg_protein,3.47
